Drug1_ID,Drug2_ID,Level,Y,class
DB1470,DB1531,Major,0,1347
DB0530,DB1246,Moderate,1,35
DB0791,DB0991,Moderate,1,1
DB0544,DB1210,Moderate,1,378
DB0113,DB1180,Moderate,1,5
DB0996,DB0004,Moderate,1,15
DB1537,DB0378,Moderate,1,5
DB0786,DB0120,Moderate,1,1
DB0275,DB0746,Moderate,1,123
DB0354,DB1504,Moderate,1,5
DB1210,DB0201,Major,0,3578
DB1090,DB0680,Moderate,1,1
DB1560,DB0201,Major,0,5
DB0835,DB0186,Moderate,1,137
DB1044,DB1435,Moderate,1,4
DB1436,DB0727,Moderate,1,168
DB0880,DB0727,Moderate,1,68
DB0788,DB1227,Moderate,1,5
DB0889,DB1058,Moderate,1,67
DB1449,DB1544,Moderate,1,18
DB1068,DB1403,Major,0,15
DB0400,DB0541,Moderate,1,1347
DB0088,DB1326,Moderate,1,5
DB0804,DB1502,Moderate,1,8
DB1327,DB0367,Moderate,1,15
DB0584,DB1311,Moderate,1,3
DB0382,DB0781,Moderate,1,14
DB1298,DB0342,Major,0,58
DB0592,DB0100,Moderate,1,5
DB1443,DB0446,Moderate,1,37
DB1356,DB0739,Major,0,58
DB1397,DB0484,Moderate,1,5
DB1478,DB1147,Moderate,1,8
DB0755,DB0792,Major,0,7
DB0170,DB1251,Moderate,1,1
DB0557,DB0511,Moderate,1,5
DB0590,DB0412,Moderate,1,3
DB0202,DB1284,Minor,2,78
DB0155,DB0936,Moderate,1,345
DB0183,DB0901,Moderate,1,37
DB1111,DB1317,Major,0,1
DB1282,DB1149,Moderate,1,15
DB1563,DB0400,Moderate,1,1347
DB1216,DB0636,Moderate,1,8
DB1317,DB0806,Moderate,1,1
DB1093,DB1475,Major,0,56
DB1491,DB0349,Moderate,1,7
DB0075,DB1017,Moderate,1,5
DB0067,DB0630,Moderate,1,1
DB1519,DB0484,Moderate,1,5
DB1251,DB1039,Moderate,1,1
DB0644,DB0793,Moderate,1,5
DB0469,DB0349,Moderate,1,37
DB0282,DB1097,Moderate,1,6
DB0485,DB0566,Moderate,1,7
DB0192,DB0811,Moderate,1,17
DB0774,DB0198,Moderate,1,35
DB0386,DB1088,Major,0,5
DB0170,DB1447,Moderate,1,1
DB0549,DB0842,Moderate,1,5
DB1026,DB0058,Moderate,1,1
DB1242,DB1525,Major,0,5
DB0320,DB1297,Moderate,1,5
DB1554,DB1180,Moderate,1,5
DB0299,DB0298,Moderate,1,12
DB0971,DB0373,Moderate,1,5
DB0420,DB1190,Moderate,1,13478
DB0883,DB0160,Moderate,1,7
DB0309,DB0005,Major,0,15
DB0088,DB0837,Moderate,1,1
DB0134,DB0149,Moderate,1,1347
DB0953,DB0078,Major,0,13
DB1190,DB0988,Moderate,1,13478
DB0375,DB0878,Moderate,1,5
DB0330,DB1458,Moderate,1,135
DB0646,DB1129,Moderate,1,1
DB0585,DB1512,Major,0,5
DB0663,DB1210,Moderate,1,1378
DB1423,DB1438,Moderate,1,7
DB0604,DB0837,Minor,2,13
DB1001,DB0938,Moderate,1,1
DB0161,DB0267,Moderate,1,15
DB0549,DB0660,Moderate,1,15
DB1190,DB0646,Major,0,13478
DB0691,DB1300,Moderate,1,1347
DB0715,DB1326,Major,0,5
DB0892,DB0405,Moderate,1,1
DB0713,DB1553,Major,0,5
DB1156,DB0649,Major,0,1
DB1339,DB0125,Moderate,1,5
DB0750,DB1058,Moderate,1,7
DB0549,DB0254,Moderate,1,5
DB1140,DB0232,Moderate,1,7
DB1542,DB0186,Major,0,137
DB0910,DB0149,Moderate,1,1347
DB0819,DB0837,Moderate,1,1
DB0333,DB1532,Moderate,1,78
DB0829,DB0858,Moderate,1,6
DB1560,DB0829,Moderate,1,6
DB0823,DB0784,Moderate,1,37
DB1025,DB1547,Moderate,1,26
DB0525,DB1085,Moderate,1,5
DB0945,DB0901,Moderate,1,37
DB1094,DB0288,Moderate,1,1
DB0801,DB1376,Moderate,1,35
DB1293,DB0646,Moderate,1,7
DB0081,DB0667,Major,0,1
DB1214,DB1212,Moderate,1,1
DB0354,DB0314,Moderate,1,35
DB0617,DB1300,Moderate,1,7
DB0071,DB0275,Moderate,1,3
DB1564,DB1257,Moderate,1,5
DB0873,DB0866,Moderate,1,1238
DB1120,DB1203,Moderate,1,5
DB1447,DB0292,Moderate,1,1
DB1402,DB1340,Major,0,17
DB0379,DB0089,Moderate,1,8
DB0375,DB0624,Major,0,5
DB1100,DB1149,Moderate,1,1
DB1468,DB0117,Moderate,1,1347
DB0830,DB0458,Major,0,1
DB0829,DB0405,Moderate,1,16
DB0354,DB1258,Major,0,5
DB1286,DB1288,Moderate,1,15
DB0497,DB0159,Moderate,1,15
DB0613,DB1446,Moderate,1,5
DB0958,DB0379,Moderate,1,8
DB0825,DB1195,Major,0,37
DB0896,DB1340,Moderate,1,1
DB0678,DB0764,Major,0,6
DB0288,DB0663,Minor,2,137
DB1172,DB1275,Major,0,2
DB1493,DB1406,Moderate,1,1
DB0936,DB0689,Moderate,1,34
DB0134,DB1156,Moderate,1,1
DB1375,DB0025,Moderate,1,5
DB1376,DB1056,Moderate,1,135
DB0304,DB1545,Major,0,1
DB0376,DB1056,Moderate,1,15
DB0473,DB1102,Major,0,45
DB0774,DB0802,Major,0,3
DB0411,DB1400,Major,0,37
DB0458,DB1201,Major,0,1
DB1020,DB1210,Moderate,1,3578
DB0614,DB0784,Moderate,1,28
DB0669,DB0771,Moderate,1,1
DB1498,DB0104,Moderate,1,1
DB0046,DB0079,Moderate,1,5
DB0588,DB0493,Moderate,1,4
DB0582,DB0871,Moderate,1,17
DB0994,DB0794,Moderate,1,1
DB0192,DB1085,Major,0,15
DB0666,DB0802,Major,0,5
DB1525,DB1301,Moderate,1,5
DB1110,DB1316,Moderate,1,6
DB0691,DB0428,Moderate,1,1347
DB0275,DB0581,Moderate,1,3
DB0009,DB1251,Moderate,1,1
DB1485,DB0588,Moderate,1,7
DB1485,DB0749,Moderate,1,7
DB0166,DB1136,Moderate,1,2
DB1392,DB1103,Major,0,5
DB0452,DB0185,Moderate,1,7
DB1280,DB0769,Moderate,1,57
DB1019,DB0040,Moderate,1,15
DB1395,DB0547,Moderate,1,38
DB0430,DB0734,Major,0,18
DB1379,DB1031,Major,0,68
DB0650,DB1302,Moderate,1,1
DB0279,DB0185,Moderate,1,7
DB0750,DB1190,Minor,2,13478
DB0313,DB1108,Moderate,1,1
DB0254,DB0866,Moderate,1,18
DB0050,DB0734,Moderate,1,8
DB0050,DB1175,Major,0,12
DB1190,DB0726,Moderate,1,13478
DB1193,DB0404,Moderate,1,7
DB0831,DB0910,Moderate,1,14
DB0072,DB0342,Moderate,1,5
DB1274,DB0953,Minor,2,13
DB1354,DB0789,Moderate,1,5
DB0479,DB1127,Moderate,1,7
DB0540,DB0367,Moderate,1,1
DB1232,DB0839,Moderate,1,6
DB0330,DB1076,Major,0,13
DB0618,DB1507,Major,0,5
DB0304,DB1372,Major,0,15
DB1302,DB0505,Moderate,1,15
DB1526,DB0154,Moderate,1,25
DB1436,DB1170,Moderate,1,156
DB0822,DB1073,Moderate,1,47
DB0898,DB0698,Moderate,1,6
DB0785,DB0807,Moderate,1,4
DB0330,DB1232,Moderate,1,136
DB0323,DB0272,Moderate,1,1
DB0784,DB1116,Moderate,1,7
DB1466,DB0646,Minor,2,35
DB0330,DB1122,Major,0,13
DB1207,DB0849,Moderate,1,5
DB0759,DB0765,Moderate,1,37
DB1316,DB1372,Moderate,1,5
DB1356,DB0600,Moderate,1,5
DB0798,DB0653,Moderate,1,5
DB1434,DB0690,Moderate,1,7
DB0823,DB0364,Moderate,1,37
DB0755,DB0088,Moderate,1,7
DB0987,DB0793,Major,0,5
DB0847,DB0285,Moderate,1,7
DB0274,DB0376,Moderate,1,5
DB0478,DB1458,Moderate,1,5
DB0297,DB1105,Moderate,1,5
DB0288,DB0617,Moderate,1,7
DB1471,DB1313,Minor,2,1347
DB0269,DB1485,Moderate,1,7
DB0809,DB1047,Minor,2,5
DB0265,DB0198,Moderate,1,5
DB1040,DB1303,Moderate,1,1
DB1129,DB1282,Moderate,1,15
DB0472,DB1064,Major,0,5
DB0446,DB0273,Moderate,1,37
DB0202,DB1042,Moderate,1,178
DB1359,DB0813,Moderate,1,1
DB0355,DB1075,Moderate,1,7
DB0660,DB0798,Moderate,1,1
DB1246,DB0036,Moderate,1,5
DB0883,DB0012,Moderate,1,7
DB0717,DB1519,Moderate,1,57
DB0479,DB1485,Moderate,1,7
DB0691,DB0541,Moderate,1,1347
DB1491,DB0895,Moderate,1,17
DB1141,DB0481,Moderate,1,7
DB1229,DB1178,Major,0,78
DB0196,DB0914,Moderate,1,7
DB0308,DB1256,Moderate,1,5
DB0096,DB0849,Moderate,1,57
DB0889,DB1045,Moderate,1,6
DB1133,DB0470,Moderate,1,13
DB1105,DB1367,Moderate,1,15
DB0910,DB0539,Moderate,1,15
DB0698,DB0526,Major,0,56
DB1204,DB0946,Minor,2,136
DB0439,DB0872,Moderate,1,1
DB0886,DB1328,Moderate,1,15
DB1133,DB0529,Moderate,1,1
DB0335,DB0818,Major,0,7
DB1232,DB0460,Minor,2,6
DB1532,DB1085,Major,0,57
DB0981,DB0284,Major,0,13
DB0298,DB0796,Moderate,1,25
DB0397,DB0837,Minor,2,13
DB0958,DB1293,Major,0,7
DB1490,DB0976,Moderate,1,37
DB1493,DB1138,Moderate,1,17
DB0585,DB1247,Major,0,5
DB0511,DB1164,Major,0,5
DB1190,DB1243,Moderate,1,13478
DB0905,DB1197,Major,0,6
DB0902,DB1419,Major,0,57
DB1469,DB0763,Moderate,1,1347
DB1210,DB0367,Moderate,1,1378
DB1154,DB1063,Major,0,4
DB1497,DB1028,Minor,2,1
DB1325,DB0840,Major,0,1
DB1346,DB0839,Moderate,1,5
DB1198,DB0490,Moderate,1,2
DB0670,DB0492,Moderate,1,3
DB0996,DB1383,Major,0,1
DB1164,DB1507,Moderate,1,5
DB1056,DB0470,Major,0,13
DB0608,DB0088,Moderate,1,5
DB0823,DB0974,Minor,2,37
DB0188,DB1234,Moderate,1,1
DB0178,DB0412,Moderate,1,3
DB1436,DB1288,Moderate,1,156
DB0403,DB0217,Minor,2,1347
DB0182,DB0201,Moderate,1,5
DB1470,DB0309,Moderate,1,1347
DB0381,DB1248,Moderate,1,8
DB1540,DB1086,Moderate,1,5
DB0287,DB0849,Moderate,1,15
DB0503,DB0871,Minor,2,1
DB0663,DB0802,Moderate,1,137
DB0021,DB0678,Major,0,6
DB0002,DB0711,Major,0,5
DB1431,DB0180,Minor,2,2
DB1049,DB0149,Moderate,1,1347
DB0102,DB1276,Moderate,1,1
DB0904,DB0862,Moderate,1,1
DB0453,DB0346,Moderate,1,56
DB0608,DB0587,Moderate,1,5
DB1205,DB0690,Moderate,1,7
DB1367,DB0372,Moderate,1,15
DB1539,DB0155,Moderate,1,13578
DB0549,DB0065,Moderate,1,15
DB1026,DB0920,Moderate,1,15
DB0718,DB0928,Moderate,1,5
DB0606,DB0186,Moderate,1,137
DB0311,DB1360,Moderate,1,37
DB1469,DB1545,Moderate,1,1347
DB0275,DB0644,Moderate,1,3
DB0072,DB1331,Moderate,1,2
DB0877,DB0683,Moderate,1,58
DB0473,DB0176,Moderate,1,5
DB0630,DB0871,Moderate,1,1
DB1171,DB0147,Moderate,1,5
DB0495,DB1429,Moderate,1,2
DB1537,DB0362,Moderate,1,5
DB0112,DB1176,Major,0,17
DB0944,DB0382,Moderate,1,4
DB1444,DB1168,Major,0,1
DB1191,DB1501,Moderate,1,13478
DB0723,DB0450,Moderate,1,2
DB0618,DB1397,Major,0,5
DB1143,DB1425,Moderate,1,7
DB0936,DB0759,Moderate,1,34
DB0355,DB0547,Moderate,1,378
DB0812,DB0872,Minor,2,1
DB1001,DB1449,Moderate,1,18
DB0883,DB0415,Moderate,1,7
DB0912,DB0796,Major,0,5
DB1028,DB0346,Moderate,1,5
DB0127,DB0755,Minor,2,137
DB1562,DB0848,Major,0,1
DB1470,DB1069,Moderate,1,1347
DB0412,DB0284,Major,0,3
DB0458,DB0844,Major,0,1
DB0953,DB0402,Moderate,1,1347
DB0871,DB0627,Moderate,1,1
DB1232,DB0755,Moderate,1,67
DB0575,DB0400,Major,0,1347
DB0558,DB0378,Moderate,1,5
DB1547,DB1300,Moderate,1,2
DB1528,DB0901,Moderate,1,37
DB1469,DB0267,Moderate,1,13457
DB0319,DB0529,Minor,2,13
DB0613,DB0322,Moderate,1,7
DB0149,DB0713,Moderate,1,13457
DB1192,DB0125,Major,0,145
DB0473,DB0585,Major,0,5
DB0229,DB0278,Moderate,1,7
DB1543,DB0837,Moderate,1,15
DB0354,DB1470,Moderate,1,13457
DB0492,DB0469,Major,0,3
DB0394,DB0388,Moderate,1,34
DB0758,DB0446,Moderate,1,37
DB1366,DB0796,Minor,2,5
DB0479,DB1340,Major,0,1
DB0650,DB0382,Major,0,4
DB0264,DB0855,Moderate,1,57
DB1535,DB0550,Moderate,1,5
DB0271,DB0585,Moderate,1,5
DB1110,DB0781,Moderate,1,16
DB0601,DB1429,Moderate,1,2
DB1190,DB0520,Moderate,1,13478
DB0341,DB0401,Moderate,1,1347
DB0311,DB0701,Moderate,1,137
DB0512,DB0827,Moderate,1,17
DB0942,DB1093,Moderate,1,15
DB0960,DB0734,Major,0,8
DB1491,DB0322,Moderate,1,7
DB1216,DB0514,Major,0,127
DB1488,DB1475,Moderate,1,6
DB1468,DB1288,Moderate,1,13457
DB1376,DB0365,Moderate,1,35
DB1128,DB1345,Major,0,5
DB1482,DB1220,Moderate,1,1
DB0663,DB0325,Moderate,1,137
DB0492,DB0843,Moderate,1,1
DB1251,DB0382,Moderate,1,14
DB0149,DB0312,Moderate,1,1347
DB0337,DB0333,Moderate,1,78
DB1466,DB0373,Moderate,1,35
DB1547,DB0727,Moderate,1,28
DB0603,DB1176,Major,0,1
DB0708,DB0717,Moderate,1,57
DB0491,DB0486,Moderate,1,8
DB0793,DB0709,Major,0,5
DB0095,DB0626,Moderate,1,2
DB0284,DB0976,Moderate,1,3
DB0886,DB0511,Moderate,1,5
DB0452,DB0149,Moderate,1,1347
DB1147,DB0046,Moderate,1,8
DB0021,DB1372,Moderate,1,5
DB0224,DB0744,Major,0,5
DB0982,DB0279,Major,0,1
DB0354,DB0898,Moderate,1,5
DB0551,DB0814,Moderate,1,8
DB0942,DB0361,Moderate,1,15
DB0995,DB0414,Moderate,1,18
DB1050,DB0654,Moderate,1,57
DB0039,DB1235,Moderate,1,5
DB1257,DB0626,Moderate,1,25
DB0149,DB1058,Minor,2,1347
DB0157,DB1019,Major,0,5
DB1451,DB0691,Moderate,1,1347
DB0825,DB0008,Moderate,1,37
DB0723,DB0079,Moderate,1,5
DB0690,DB0125,Moderate,1,57
DB1102,DB1088,Moderate,1,45
DB1028,DB1074,Moderate,1,3
DB1275,DB0817,Moderate,1,2
DB0520,DB0901,Moderate,1,37
DB0081,DB0654,Moderate,1,5
DB0503,DB0501,Moderate,1,1
DB0429,DB1008,Moderate,1,5
DB0422,DB0181,Moderate,1,3
DB0713,DB1302,Moderate,1,15
DB1155,DB0866,Minor,2,18
DB0589,DB0194,Moderate,1,5
