Drug1_ID,Drug2_ID,Y,Neg samples
DB00919,DB00972,71,DB00844$h
DB01223,DB00243,46,DB00448$t
DB06739,DB12332,46,DB00426$t
DB06262,DB00214,82,DB11256$t
DB00652,DB06153,48,DB09488$t
DB04951,DB00887,28,DB00743$t
DB09104,DB00741,2,DB00198$h
DB01192,DB09245,48,DB00397$t
DB00962,DB06700,48,DB13231$t
DB00966,DB01113,48,DB00485$h
DB00454,DB00241,48,DB00319$t
DB01242,DB00421,48,DB06689$t
DB00346,DB09026,59,DB00677$t
DB00652,DB00341,48,DB06267$h
DB06736,DB08906,48,DB09054$h
DB00346,DB01197,59,DB00255$t
DB00278,DB00749,5,DB11342$h
DB01158,DB01214,53,DB08799$t
DB00391,DB01580,48,DB06148$t
DB01583,DB09293,69,DB00198$t
DB01576,DB00737,75,DB01295$h
DB09039,DB06603,72,DB00166$t
DB00750,DB00575,48,DB00818$t
DB06616,DB04794,72,DB00006$t
DB01355,DB00501,46,DB00655$t
DB00191,DB01242,22,DB01073$h
DB06716,DB00754,48,DB00914$t
DB00508,DB00450,15,DB00490$t
DB09280,DB09061,74,DB00389$h
DB00598,DB00991,36,DB00281$t
DB00335,DB00841,13,DB01252$h
DB00559,DB00514,74,DB11641$h
DB00678,DB00359,46,DB01253$t
DB00321,DB00333,48,DB00959$t
DB00481,DB00176,46,DB00525$t
DB08875,DB00263,46,DB00432$t
DB00320,DB09241,46,DB00759$h
DB00611,DB00182,68,DB09220$t
DB05266,DB02709,52,DB01030$t
DB00887,DB09026,48,DB00402$h
DB00502,DB01591,19,DB08974$t
DB00179,DB01077,48,DB08994$h
DB09292,DB08880,48,DB00820$t
DB00896,DB04576,48,DB09215$t
DB01240,DB00091,46,DB00884$h
DB00338,DB00661,46,DB00653$h
DB00418,DB01295,74,DB01222$h
DB01394,DB00635,72,DB01012$t
DB00232,DB00584,48,DB13878$t
DB00752,DB00341,48,DB00736$h
DB00434,DB05271,31,DB06715$t
DB01050,DB00310,69,DB06193$t
DB06144,DB00771,48,DB09322$t
DB01595,DB01211,46,DB08895$t
DB00679,DB00927,19,DB01377$t
DB00657,DB01143,59,DB06816$t
DB00169,DB08820,72,DB12070$t
DB00801,DB01069,48,DB13139$h
DB06724,DB00641,74,DB01206$h
DB09146,DB00736,66,DB01452$t
DB01215,DB00455,48,DB06730$h
DB01156,DB09073,72,DB00625$t
DB00564,DB00426,3,DB01088$h
DB00508,DB00612,59,DB01294$t
DB01609,DB01074,74,DB03128$t
DB00556,DB09082,19,DB01345$t
DB06786,DB00673,72,DB00446$t
DB00188,DB09063,72,DB01082$h
DB09220,DB01236,59,DB01359$h
DB00469,DB00035,48,DB09543$h
DB00996,DB01440,48,DB06820$h
DB00381,DB01210,48,DB09235$t
DB00356,DB00835,48,DB06794$h
DB00333,DB00748,48,DB00302$t
DB08918,DB01624,48,DB09297$t
DB00628,DB00395,48,DB12026$h
DB00897,DB00220,72,DB00367$t
DB01126,DB00224,72,DB01301$t
DB01260,DB04576,48,DB01228$h
DB00589,DB00745,48,DB11575$h
DB00257,DB01244,48,DB05245$h
DB00575,DB01612,48,DB09153$h
DB00850,DB01159,48,DB08943$h
DB00759,DB00196,46,DB05015$t
DB00541,DB00289,46,DB01336$t
DB09204,DB01009,36,DB01260$t
DB00178,DB00461,48,DB00476$h
DB00186,DB01114,48,DB01208$t
DB09224,DB00356,48,DB00360$t
DB00418,DB00870,3,DB11828$h
DB00254,DB01061,69,DB00907$t
DB00215,DB01583,69,DB00705$t
DB01577,DB06702,76,DB01046$t
DB06716,DB00181,48,DB01001$h
DB06690,DB06770,48,DB01396$h
DB00962,DB00484,15,DB00115$h
DB00201,DB05812,72,DB00890$t
DB01259,DB01241,46,DB01071$t
DB01184,DB01156,46,DB01247$h
DB00470,DB00208,72,DB00387$t
DB00641,DB13179,72,DB01097$h
DB00898,DB08922,15,DB01185$t
DB01242,DB00765,31,DB00120$t
DB00629,DB00264,24,DB08439$t
DB04844,DB00398,19,DB00294$h
DB08820,DB08933,72,DB00182$h
DB00503,DB00682,74,DB04920$h
DB00409,DB00660,48,DB00703$h
DB00341,DB00395,48,DB11660$h
DB01218,DB00582,72,DB01588$t
DB00312,DB00528,3,DB09096$h
DB00296,DB01567,48,DB04953$h
DB00831,DB01320,48,DB08814$h
DB00924,DB00502,46,DB01414$t
DB00680,DB09281,66,DB01098$t
DB01600,DB00487,26,DB01094$t
DB00608,DB00502,48,DB08822$h
DB00415,DB01421,74,DB09223$t
DB00599,DB00771,48,DB09031$h
DB00310,DB09038,48,DB00240$t
DB00922,DB09286,48,DB09389$h
DB01100,DB01104,19,DB00184$t
DB00528,DB09238,59,DB00680$h
DB09117,DB01544,15,DB00207$t
DB08901,DB09073,72,DB09073$h
DB06697,DB04572,46,DB00955$t
DB00573,DB01032,72,DB00713$t
DB06216,DB00818,19,DB09282$t
DB01263,DB00884,48,DB01212$t
DB11915,DB09039,46,DB08957$t
DB01200,DB06663,72,DB00646$h
DB06697,DB01149,46,DB00621$h
