Drug1_ID,Drug2_ID,Y
DB06287,DB00396,3
DB09195,DB09245,1
DB00759,DB01067,1
DB00734,DB11614,5
DB00242,DB01039,22
DB06684,DB01410,0
DB00451,DB01087,0
DB00962,DB11633,0
DB00993,DB00972,0
DB11757,DB09280,0
DB14583,DB01221,3
DB00280,DB00918,7
DB01018,DB00763,0
DB04946,DB00358,0
DB00281,DB00224,0
DB09198,DB00887,12
DB00788,DB12332,0
DB00484,DB09128,7
DB04896,DB01251,17
DB01367,DB01021,13
DB01229,DB00694,0
DB13139,DB01193,6
DB00813,DB00393,8
DB01410,DB01097,2
DB00458,DB00530,0
DB12693,DB01238,0
DB08807,DB00841,65
DB01221,DB00778,0
DB00197,DB00745,0
DB00721,DB00590,13
DB01151,DB01079,0
DB01601,DB01241,1
DB09071,DB01388,0
DB00993,DB09224,1
DB08881,DB11901,11
DB06616,DB09034,4
DB00977,DB13879,0
DB00969,DB00495,0
DB06616,DB04905,3
DB01071,DB01244,5
DB01191,DB00283,0
DB00285,DB09030,66
DB05015,DB00530,0
DB00477,DB05015,3
DB00908,DB00763,0
DB06016,DB01129,0
DB00393,DB06154,54
DB12070,DB09291,0
DB11737,DB01016,3
DB15233,DB09288,0
DB05294,DB00675,3
DB00726,DB09212,9
DB00255,DB12001,1
DB00697,DB09068,2
DB00227,DB08880,0
DB01101,DB00317,0
DB00323,DB06211,1
DB08910,DB01036,7
DB00266,DB09079,18
DB00487,DB00625,5
DB01393,DB00481,16
DB00263,DB00836,5
DB00568,DB13174,0
DB11986,DB04832,0
DB11855,DB01218,0
DB00805,DB00422,47
DB00321,DB00730,0
DB00186,DB00780,2
DB00402,DB01685,0
DB06335,DB06413,3
DB00495,DB11921,2
DB00280,DB09195,1
DB11586,DB01236,0
DB06480,DB08912,0
DB01580,DB05039,65
DB00936,DB00390,1
DB00409,DB00740,2
DB12026,DB08893,4
DB00433,DB00443,3
DB00969,DB01245,2
DB00714,DB04829,2
DB00980,DB00619,0
DB05039,DB09238,8
DB06670,DB12147,4
DB00502,DB04844,5
DB00500,DB00115,1
DB01135,DB06144,2
DB05271,DB08932,8
DB06403,DB00443,3
DB08881,DB00246,5
DB00469,DB01176,0
DB06292,DB00997,0
DB01236,DB00503,4
DB00518,DB00620,3
DB01588,DB04946,2
DB01193,DB00472,4
DB00432,DB08912,16
DB01303,DB00252,11
DB00458,DB00790,6
DB00437,DB00946,18
DB01054,DB00866,25
DB00938,DB06016,9
DB14068,DB11642,11
DB04574,DB01195,0
DB06446,DB00540,7
DB01248,DB00668,0
DB00334,DB00264,0
DB00195,DB13919,15
DB01192,DB08897,2
DB00432,DB00620,2
DB00843,DB00857,0
DB00737,DB00392,7
DB01195,DB00787,0
DB00822,DB01274,5
DB06506,DB01435,0
DB00629,DB00313,0
DB00244,DB08897,1
DB08873,DB00394,3
DB00883,DB00476,71
DB00518,DB06469,0
DB00860,DB00482,23
DB00444,DB09078,3
DB00903,DB09195,1
DB00889,DB04832,2
DB00668,DB01071,12
DB04839,DB00273,3
DB00177,DB08808,15
DB00590,DB00792,0
DB00359,DB00683,1
DB01254,DB11652,1
DB00749,DB01297,8
DB00327,DB01079,21
DB01235,DB09224,6
DB11979,DB00409,0
DB01251,DB00220,6
